sample_id,question,gold_first,prediction,upstream_parsed_answer,status,runtime_status,em,f1,baseline_prediction,baseline_em,baseline_f1,windows,model_calls,input_tokens,output_tokens,deferred_promoted,cross_window_promoted,unresolved_queries,error,trajectory,error_type,protocol_valid,protocol_repair_failure_count
dev_3867,Who is the stepmother of Gulussa?,Sophoniba,Masalsa,Masalsa,OK,ANSWERED,0.0,0,,,,2,8,12043,1195,0,0,"['Q1', 'Q2']",,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_3867-v5_predicted-original-e5c2106d.json,,False,2
dev_4969,Which country the composer of film Sergeant Hassan is from?,Malaysia,Malaysia,Malaysia,OK,ANSWERED,1.0,1.0,,,,2,10,13995,492,1,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_4969-v5_predicted-original-8039b970.json,,True,0
dev_1690,"Which film was released more recently, One Note At A Time or Cattive Ragazze?",One Note At A Time,One Note At A Time,One Note At A Time,OK,ANSWERED,1.0,1.0,,,,2,8,13298,693,0,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_1690-v5_predicted-original-2b17170b.json,,True,0
dev_11816,"Which film came out first, Hotel Der Toten Gäste or The Relative Of His Excellency?",The Relative Of His Excellency,The Relative of His Excellency,The Relative of His Excellency,OK,ANSWERED,1.0,1.0,,,,2,7,18030,614,0,0,"['Q1', 'Q3']",,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_11816-v5_predicted-original-ca0d07e9.json,,True,0
dev_6489,"Which film came out earlier, Without The King or We Are Legion?",Without The King,Without The King,Without The King,OK,ANSWERED,1.0,1.0,,,,2,6,9993,345,0,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_6489-v5_predicted-original-9a64e6f2.json,,True,0
dev_7845,"Which film came out earlier, A Lizard In A Woman'S Skin or Hyderabad Nawabs?",A Lizard In A Woman'S Skin,A Lizard in a Woman's Skin,A Lizard in a Woman's Skin,OK,ANSWERED,1.0,1.0,,,,2,8,13247,540,0,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_7845-v5_predicted-original-7089445a.json,,True,0
dev_2539,"Which film has the director died first, Il Diavolo Sulle Colline or Red Pearls?",Red Pearls,Red Pearls,Red Pearls,OK,ANSWERED,1.0,1.0,,,,2,12,15421,1032,1,0,"['Q4', 'Q5']",,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_2539-v5_predicted-original-1fd11378.json,,True,0
dev_1476,What nationality is the member of Listen... Tanks! who is also a member of Snow Patrol?,Chill Factor,Irish,Irish,OK,ANSWERED,0.0,0,,,,2,13,17807,1235,2,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_1476-v5_predicted-original-e52d8270.json,,True,0
dev_1089,Are both Don Sasa and Boyd R. Overhulse from the same country?,yes,Yes,Yes,OK,ANSWERED,1.0,1.0,,,,2,8,13047,505,0,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_1089-v5_predicted-original-d79e2861.json,,True,0
dev_324,What is the place of birth of the director of film Stopp! Tänk På Något Annat?,Vasteras,"Västerås, Sweden","Västerås, Sweden",OK,ANSWERED,0.0,0,,,,2,8,11039,313,1,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_324-v5_predicted-original-58027d70.json,,True,0
dev_6579,"Which film has the director who died earlier, The Student'S Romance or Kai Kodukkum Kai?",Student's Romance,The Student's Romance,The Student's Romance,OK,ANSWERED,1.0,1.0,,,,1,10,12556,847,2,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_6579-v5_predicted-original-b98cc50e.json,,True,0
dev_9001,"What is the date of birth of George Compton, 6Th Earl Of Northampton's father?",18 October 1664,18 \text{ October } 1664,18 \text{ October } 1664,OK,ANSWERED,0.0,0.8571428571428571,,,,2,8,16198,554,0,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_9001-v5_predicted-original-fdb289a7.json,,True,0
dev_4741,Where was the director of film War Of The Buttons (1994 Film) born?,The City of Good Neighbors,County Cork,County Cork,OK,ANSWERED,0.0,0,,,,2,9,18088,310,1,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_4741-v5_predicted-original-69a6dac0.json,,True,0
dev_12536,"Which film has the director born later, Some Boy! or The Lucky Corner?",The Lucky Corner,The Lucky Corner,The Lucky Corner,OK,ANSWERED,1.0,1.0,,,,2,13,17157,1121,2,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_12536-v5_predicted-original-e342f68f.json,,True,0
dev_964,"Who was born later, Paolo Marcellini or Dean Evans?",Dean Evans,Paolo Marcellini,Paolo Marcellini,OK,ANSWERED,0.0,0,,,,2,8,11346,1234,0,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_964-v5_predicted-original-4eb8bf6a.json,,True,0
dev_3636,"Which film has the director born later, One Day In The Life Of Andrei Arsenevich or Wolves Of The Range?",One Day In The Life Of Andrei Arsenevich,One Day In The Life Of Andrei Arsenevich,One Day In The Life Of Andrei Arsenevich,OK,ANSWERED,1.0,1.0,,,,2,8,12545,879,1,0,"['Q4', 'Q5']",,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_3636-v5_predicted-original-73214c58.json,,True,0
